Number1		EINS
Number2		ZWEI
Number3		DREI
Number4		VIER
Number5		FÜNF
Number6		SECHS
Number7		SIEBEN
Number8		ACHT
Number9		NEUN
Number10	ZEHN
Number11	ELF
Number12	ZWÖLF
Number13	DREIZEHN
Number14	VIERZEHN
Number15	FÜNFZEHN
Number16	SECHZEHN
Number17	SIEBZEHN
Number18	ACHTZEHN
Number19	NEUNZEHN
Number20	ZWANZIG

nth1		1.
nth2		2.
nth3		3.
nth4		4.
nth5		5.
nth6		6.
nth7		7.
nth8		8.
nth9		9.
nth10		10.
nth11		11.
nth12		12.
nth13		13.
nth14		14.
nth15		15.
nth16		16.
nth17		17.
nth18		18.
nth19		19.
nth20		20.
nth21		21.
nth22		22.
nth23		23.
nth24		24.
nth25		25.
nth26		26.
nth27		27.
nth28		28.
nth29		29.
nth30		30.
nth31		31.

MonthShort1		Jan
MonthShort2		Feb
MonthShort3		Mär
MonthShort4		Apr
MonthShort5		Mai
MonthShort6		Jun
MonthShort7		Jul
MonthShort8		Aug
MonthShort9		Sep
MonthShort10	Okt
MonthShort11	Nov
MonthShort12	Dez

WeekDay0		Sonntag
WeekDay1		Montag
WeekDay2		Dienstag
WeekDay3		Mittwoch
WeekDay4		Donnerstag
WeekDay5		Freitag
WeekDay6		Samstag
