Number1		ONE
Number2		TWO
Number3		THREE
Number4		FOUR
Number5		FIVE
Number6		SIX
Number7		SEVEN
Number8		EIGHT
Number9		NINE
Number10	TEN
Number11	ELEVEN
Number12	TWELVE
Number13	THIRTEEN
Number14	FOURTEEN
Number15	FIFTEEN
Number16	SIXTEEN
Number17	SEVENTEEN
Number18	EIGHTEEN
Number19	NINETEEN
Number20	TWENTY

nth1		1st
nth2		2nd
nth3		3rd
nth4		4th
nth5		5th
nth6		6th
nth7		7th
nth8		8th
nth9		9th
nth10		10th
nth11		11th
nth12		12th
nth13		13th
nth14		14th
nth15		15th
nth16		16th
nth17		17th
nth18		18th
nth19		19th
nth20		20th
nth21		21st
nth22		22nd
nth23		23rd
nth24		24th
nth25		25th
nth26		26th
nth27		27th
nth28		28th
nth29		29th
nth30		30th
nth31		31st

MonthShort1		Jan
MonthShort2		Feb
MonthShort3		Mar
MonthShort4		Apr
MonthShort5		May
MonthShort6		Jun
MonthShort7		Jul
MonthShort8		Aug
MonthShort9		Sep
MonthShort10	Oct
MonthShort11	Nov
MonthShort12	Dec

WeekDay0		Sunday
WeekDay1		Monday
WeekDay2		Tuesday
WeekDay3		Wednesday
WeekDay4		Thursday
WeekDay5		Friday
WeekDay6		Saturday
